
[00:00:00.000 --> 00:00:08.680]  今天呢我主要是给大家介绍一下这个Triton这个语言是怎么在升能上开发的
[01:00:09.000 --> 01:00:17.000]  嗯我想想不会不会多占这个怎么说呢
[01:00:17.000 --> 01:00:19.000]  不会不会多占内存
[01:00:19.000 --> 01:00:21.000]  因为我们内存本来就是一个基本用满的状态
[01:00:21.000 --> 01:00:26.000]  像我上页提到的就是我们本身这个片段空间就是要去给它用满的
[01:00:26.000 --> 01:00:28.000]  比如说它用满的
[01:00:28.000 --> 01:00:29.000]  比如说它用满的基础上呢
[01:00:29.000 --> 01:00:30.000]  如果我们开的话
[01:00:30.000 --> 01:00:31.000]  它会给你这个
[01:00:31.000 --> 01:00:33.000]  比如说我用了192这个空间
[01:00:33.000 --> 01:00:35.000]  它会自动给你切两半
[01:00:35.000 --> 01:00:36.000]  然后让你去
[01:00:36.000 --> 01:00:38.000]  啊其实现在说你自己的定义力吧
[01:00:38.000 --> 01:00:40.000]  它就你就不能超96
[01:00:40.000 --> 01:00:45.000]  写法上来说是有一种拿这个空间换性能
[01:00:45.000 --> 01:00:48.000]  但实际上它占用的如果我们不开的话
[01:00:48.000 --> 01:00:51.000]  本身我们也我们也是想用满192的
[01:00:51.000 --> 01:00:53.000]  所以这里我就没太理解
[01:00:53.000 --> 01:00:57.000]  就是它这个开关开出来的一个目的到底是啥
[01:00:57.000 --> 01:00:58.000]  因为如果按你这个说法的话
[01:00:58.000 --> 01:01:00.000]  它是不是就是默认就是都是Q
[01:01:00.000 --> 01:01:02.000]  那它为什么要把它开出来
[01:01:02.000 --> 01:01:06.000]  因为就是实测在有一些大部分
[01:01:06.000 --> 01:01:07.000]  那你想会有用是吧
[01:01:07.000 --> 01:01:08.000]  对大部分产品会有用
[01:01:08.000 --> 01:01:11.000]  但是在游戏上下反而关的性能更好
[01:01:12.000 --> 01:01:14.000]  比如说总共就没多少块
[01:01:14.000 --> 01:01:16.000]  或者说我循环特别短
[01:01:16.000 --> 01:01:22.000]  那其实这个游戏开了它反而就是耽误性能
[01:01:22.000 --> 01:01:28.000]  所以它才提供了一个就是这个选项说我们可以关掉它
[01:01:32.000 --> 01:01:37.000]  就是6和192是它实测的那一个数值提供的一个建议是吧
[01:01:37.000 --> 01:01:38.000]  还是说
[01:01:38.000 --> 01:01:40.000]  不是就是举个例子
[01:01:40.000 --> 01:01:42.000]  是这样的
[01:01:42.000 --> 01:01:44.000]  192是因为我们之前提到我们
[01:01:44.000 --> 01:01:46.000]  我们想尽量把片上优满
[01:01:46.000 --> 01:01:48.000]  Ub总量是192
[01:01:48.000 --> 01:01:52.000]  我们本身如果写一个我们要写一个串通算的话
[01:01:52.000 --> 01:01:56.000]  我们这个tiling那个分块就是要尽量把Ub给用满的
[01:01:56.000 --> 01:01:58.000]  OK
[01:01:58.000 --> 01:01:59.000]  然后那如果说
[01:01:59.000 --> 01:02:00.000]  当然当然又怎么用
[01:02:00.000 --> 01:02:04.000]  这事肯定就是我们写这个subblock size
[01:02:04.000 --> 01:02:05.000]  来确定了吧
[01:02:05.000 --> 01:02:08.000]  但就是说如果说你如果开了double buffer的话
[01:02:08.000 --> 01:02:10.000]  你这个subblock size
[01:02:10.000 --> 01:02:13.000]  你自己要调调调调调调调一半
[01:02:13.000 --> 01:02:14.000]  就是这个意思
[01:02:14.000 --> 01:02:22.000]  它那个double buffer的意思就是把整个比如说192的内存是封成了两个96是吧
[01:02:22.000 --> 01:02:26.000]  先用一个用完了再用另外一个就这个意思
[01:02:26.000 --> 01:02:28.000]  对对不算用完了吧
[01:02:28.000 --> 01:02:30.000]  就是现在说我其中一个的load做完之后
[01:02:30.000 --> 01:02:33.000]  我另一边数据就可以搞load了
[01:02:33.000 --> 01:02:34.000]  对就这个意思
[01:02:34.000 --> 01:02:38.000]  就是封成两个96先在第一个96里面做load
[01:02:38.000 --> 01:02:41.000]  然后再在第二个96里面再做load
[01:02:41.000 --> 01:02:44.000]  对对对就靠这个来增加并行度
[01:02:44.000 --> 01:02:50.000]  对那那他那一共这样的类似流的这也只是两条流吗
[01:02:50.000 --> 01:02:53.000]  对吧那第三条就是说你这个图里面的第三个
[01:02:53.000 --> 01:02:55.000]  这是一个示意
[01:02:55.000 --> 01:02:57.000]  然后因为现在默认是2D
[01:02:57.000 --> 01:03:03.000]  但是以后这个可能会发展成有更多的选择
[01:03:03.000 --> 01:03:05.000]  现在默认是2D
[01:03:05.000 --> 01:03:07.000]  啊就是如果是double buffer的话
[01:03:07.000 --> 01:03:09.000]  那你就是总共就是两条流
[01:03:09.000 --> 01:03:10.000]  对对
[01:03:10.000 --> 01:03:11.000]  两个load
[01:03:11.000 --> 01:03:11.000]  对
[01:03:11.000 --> 01:03:14.000]  如果是所谓mute就是大于两个buffer
[01:03:14.000 --> 01:03:15.000]  或者比如说搞成4个
[01:03:15.000 --> 01:03:16.000]  对对对
[01:03:16.000 --> 01:03:18.000]  那就是可以更多
[01:03:18.000 --> 01:03:19.000]  对
[01:03:19.000 --> 01:03:23.000]  因为现在是给以后留下一些这个空间嘛
[01:03:23.000 --> 01:03:25.000]  所以现在就叫mute buffer
[01:03:25.000 --> 01:03:27.000]  只不过现在实际的用起来是double buffer
[01:03:27.000 --> 01:03:28.000]  后边的东西会
[01:03:28.000 --> 01:03:33.000]  因为这个仓刚开出来也就四五个月嘛
[01:03:33.000 --> 01:03:36.000]  所以东西其实功能还在一直开发
[01:03:36.000 --> 01:03:41.000]  只是未来这个选项它不会限制在这个double buffer里面
[01:03:41.000 --> 01:03:42.000]  就是double buffer里面
[01:03:48.000 --> 01:03:48.000]  对
[01:03:48.000 --> 01:03:49.000]  然后呢
[01:03:49.000 --> 01:03:50.000]  这会讲autotune
[01:03:50.000 --> 01:03:51.000]  啊
[01:03:51.000 --> 01:03:52.000]  这autotune其实就是
[01:03:52.000 --> 01:03:53.000]  嗯
[01:03:53.000 --> 01:03:55.000]  就是本身Phyton它自己就带的一个功能
[01:03:55.000 --> 01:04:00.000]  然后我们是现在把它跟我们昇腾也这个兼容上了
[01:04:01.000 --> 01:04:02.000]  然后呢
[01:04:02.000 --> 01:04:04.000]  这个东西它的做法就是说呢
[01:04:04.000 --> 01:04:08.000]  它不是说直接给你去推导最佳参数的
[01:04:08.000 --> 01:04:09.000]  然后呢
[01:04:09.000 --> 01:04:11.000]  而是说你要给它这个搜索空间
[01:04:11.000 --> 01:04:14.000]  你要告诉它我的候选人有哪些
[01:04:14.000 --> 01:04:15.000]  然后呢
[01:04:15.000 --> 01:04:19.000]  它的这个会前面说自动做测试
[01:04:19.000 --> 01:04:21.000]  我上次CANN资料以后
[01:04:21.000 --> 01:04:24.000]  它好像提的是有一个benchmark
[01:04:24.000 --> 01:04:26.000]  而不是一个预测性的吧
[01:04:26.000 --> 01:04:27.000]  应该不是预测性的
[01:04:27.000 --> 01:04:34.000]  然后它这个就是现在说去动它去测一遍来选择呢
[01:04:34.000 --> 01:04:36.000]  这个最佳的这个参数组合
[01:04:36.000 --> 01:04:38.000]  但是它里边呢
[01:04:38.000 --> 01:04:39.000]  有一个这个key这个值
[01:04:39.000 --> 01:04:43.000]  就是key就是说我们会包在这个autotune里面的这个东西
[01:04:43.000 --> 01:04:44.000]  这个key的值代表啥呢
[01:04:44.000 --> 01:04:46.000]  就是说我们这个函数
[01:04:46.000 --> 01:04:49.000]  这个参数它如果发生变化了
[01:04:50.000 --> 01:04:53.000]  那这个config就会
[01:04:53.000 --> 01:04:56.000]  就是或者这个autotune就会重新再触发一次
[01:04:56.000 --> 01:05:02.000]  因为像比如说我总共我这个算子这个数据规模
[01:05:02.000 --> 01:05:04.000]  我要是比如说1024跟2048的话
[01:05:04.000 --> 01:05:06.000]  那它的其实我同一个不知道太子
[01:05:06.000 --> 01:05:12.000]  它可能在这个就是大规格里面是它更好
[01:05:12.000 --> 01:05:16.000]  但在另一个规格里面也许另一个config更好
[01:05:16.000 --> 01:05:21.000]  所以说呢这个key就是说如果我们调参数的时候这个值发生了变化
[01:05:21.000 --> 01:05:25.000]  它对这个key值就会再进行一次autotune
[01:05:25.000 --> 01:05:27.000]  把这些config再给你找出
[01:05:27.000 --> 01:05:35.000]  先说它就是做的是找出你当前这个key值的某个值的时候
[01:05:35.000 --> 01:05:38.000]  它对应的最佳的这个config是什么
[01:05:39.000 --> 01:05:40.000]  然后呢
[01:05:41.000 --> 01:05:44.000]  但这个它不会说傻的
[01:05:44.000 --> 01:05:48.000]  说你每次这个值一遍就给你重新来
[01:05:48.000 --> 01:05:50.000]  它其实是有缓存结果的
[01:05:50.000 --> 01:05:53.000]  比如说我前面我有个1024对吧
[01:05:53.000 --> 01:05:54.000]  它给我测一遍
[01:05:54.000 --> 01:05:56.000]  我后面有个2048它再给我测一遍
[01:05:56.000 --> 01:06:00.000]  如果后面再有一个2048它就是
[01:06:00.000 --> 01:06:02.000]  就不会给你再重新测一遍了
[01:06:02.000 --> 01:06:04.000]  就直接会把之前缓存的
[01:06:04.000 --> 01:06:08.000]  我已经挑好的这个最佳的这个config给你用上
[01:06:10.000 --> 01:06:14.000]  然后这样的话如果本身说这个这个config
[01:06:14.000 --> 01:06:16.000]  或者这个autotune的时间影响不大的话
[01:06:16.000 --> 01:06:19.000]  有时候部署的时候你就甚至不需要去特意给它再去掉
[01:06:19.000 --> 01:06:21.000]  因为它在同一个规格化
[01:06:21.000 --> 01:06:25.000]  它只会给你自动调一次
[01:06:25.000 --> 01:06:29.000]  然后它其实还有一些其他的这几个功能
[01:06:29.000 --> 01:06:33.000]  然后比如说这个有一个修剪配置的一个函数
[01:06:33.000 --> 01:06:39.000]  它的话就说
[01:06:39.000 --> 01:06:43.000]  但这个其实实际上我CANN用的人比较少
[01:06:43.000 --> 01:06:45.000]  但它这个功能是有的
[01:06:45.000 --> 01:06:47.000]  就是说我们可以给一个proof model函数
[01:06:47.000 --> 01:06:49.000]  现在有啥呢
[01:06:49.000 --> 01:06:51.000]  比如这个东西就是说我们根据这个参数值
[01:06:51.000 --> 01:06:53.000]  我们根据这个参数值
[01:06:53.000 --> 01:06:58.000]  然后给它返回一个这个性能的一个打分
[01:06:58.000 --> 01:06:59.000]  但这个model除了我们自己写
[01:06:59.000 --> 01:07:05.000]  然后呢它会先根据你给它提供的这个model函数
[01:07:05.000 --> 01:07:07.000]  它得做个排行
[01:07:07.000 --> 01:07:09.000]  然后呢根据你的这个topk
[01:07:09.000 --> 01:07:14.000]  它就会保留说根据你的这个proof model的前几名
[01:07:14.000 --> 01:07:17.000]  它给你保留做后边的这个真实的这个测试
[01:07:17.000 --> 01:07:20.000]  还有就是提前修剪配置还说
[01:07:20.000 --> 01:07:22.000]  这个比如说我们设置之后
[01:07:22.000 --> 01:07:24.000]  它是可以说
[01:07:24.000 --> 01:07:27.000]  比如这里边你CANN我们这里边说我们config里边
[01:07:27.000 --> 01:07:29.000]  我就config我就留
[01:07:29.000 --> 01:07:30.000]  然后这就硬写啊
[01:07:30.000 --> 01:07:33.000]  这个这个不是说它是个好的这个这个配置还说
[01:07:33.000 --> 01:07:35.000]  就说可以这么写
[01:07:35.000 --> 01:07:36.000]  可以比如说我就
[01:07:36.000 --> 01:07:39.000]  我就要留0号1号3号就不要2号
[01:07:39.000 --> 01:07:43.000]  那它就不会那那个2号config就不给你测了
[01:07:43.000 --> 01:07:45.000]  就是忽略了
[01:07:45.000 --> 01:07:48.000]  然后所以这块这个东西就是说啥呢
[01:07:48.000 --> 01:07:49.000]  就是
[01:07:49.000 --> 01:07:50.000]  其实就是说
[01:07:50.000 --> 01:07:53.000]  如果说你觉得你自己这个config
[01:07:53.000 --> 01:07:55.000]  你给的特别长的一串
[01:07:55.000 --> 01:07:59.000]  你就想要再提前去做一下简致
[01:07:59.000 --> 01:08:00.000]  叫去掉一部分
[01:08:00.000 --> 01:08:03.000]  就可以通过这个proofconfig by
[01:08:03.000 --> 01:08:04.000]  这个东西
[01:08:04.000 --> 01:08:06.000]  来指定这个perfmodel topk
[01:08:06.000 --> 01:08:08.000]  还有这个earlyconfig for这个函数
[01:08:08.000 --> 01:08:13.000]  这个函数来就全体说在我们让autotune做evaluation之前
[01:08:13.000 --> 01:08:15.000]  我们先去掉一部分config
[01:08:15.000 --> 01:08:18.000]  来加快它这个autotune的这个时间
[01:08:18.000 --> 01:08:20.000]  然后另外呢
[01:08:20.000 --> 01:08:21.000]  这两个呢
[01:08:21.000 --> 01:08:22.000]  呃就是
[01:08:22.000 --> 01:08:25.000]  resetTo0和resortValue这两个q块说
[01:08:25.000 --> 01:08:27.000]  因为它俩其实
[01:08:27.000 --> 01:08:28.000]  呃目的
[01:08:28.000 --> 01:08:29.000]  比较
[01:08:29.000 --> 01:08:30.000]  相似
[01:08:30.000 --> 01:08:31.000]  嗯
[01:08:31.000 --> 01:08:32.000]  就是说呢
[01:08:32.000 --> 01:08:33.000]  呃
[01:08:33.000 --> 01:08:38.000]  就是我们的kernel呢
[01:08:38.000 --> 01:08:41.000]  那写法并不是说每次我们都返回个新值的
[01:08:41.000 --> 01:08:45.000]  比如说我们之前像我们前面这个函数哈
[01:08:45.000 --> 01:08:46.000]  对吧
[01:08:46.000 --> 01:08:48.000]  我xy然后返回一个output
[01:08:48.000 --> 01:08:51.000]  那其实就跑很多次也不影响
[01:08:51.000 --> 01:08:52.000]  但如果呢
[01:08:52.000 --> 01:08:55.000]  我的写法是我xy算了个啥之后
[01:08:55.000 --> 01:08:57.000]  我存回x了
[01:08:58.000 --> 01:09:00.000]  那这样的话我们如果用autotune的话
[01:09:00.000 --> 01:09:02.000]  它会导致结果会变错了
[01:09:02.000 --> 01:09:04.000]  因为
[01:09:04.000 --> 01:09:07.000]  因为像我们autotune这个现在说config都跑一遍了
[01:09:07.000 --> 01:09:09.000]  但我第二次跑config的时候
[01:09:09.000 --> 01:09:11.000]  那其实x已经变了
[01:09:12.000 --> 01:09:13.000]  那
[01:09:13.000 --> 01:09:15.000]  我们这等我跑它的时候
[01:09:15.000 --> 01:09:17.000]  我们再跑这个tryton的这个函数
[01:09:17.000 --> 01:09:18.000]  它其实
[01:09:18.000 --> 01:09:21.000]  里边的这个数据结果就错了
[01:09:21.000 --> 01:09:23.000]  那可能会走到里边错
[01:09:23.000 --> 01:09:26.000]  或者也会影响最后的这个正确计算
[01:09:26.000 --> 01:09:28.000]  因为像本身
[01:09:28.000 --> 01:09:29.000]  我们加上autotune之后
[01:09:29.000 --> 01:09:30.000]  它是
[01:09:30.000 --> 01:09:32.000]  我们还是能一遍跑
[01:09:32.000 --> 01:09:34.000]  然后一遍跑出正确结果的
[01:09:34.000 --> 01:09:35.000]  但是
[01:09:35.000 --> 01:09:37.000]  如果说我们里边的函数呢
[01:09:37.000 --> 01:09:39.000]  涉及到一些像
[01:09:39.000 --> 01:09:40.000]  累加呀
[01:09:40.000 --> 01:09:42.000]  或者说原地修改值的这种操作的话
[01:09:42.000 --> 01:09:44.000]  那它这个autotune的这种
[01:09:44.000 --> 01:09:46.000]  就是连续测config的机制呢
[01:09:46.000 --> 01:09:48.000]  就会导致它这个结果错误
[01:09:48.000 --> 01:09:50.000]  刚才效益不合预期
[01:09:50.000 --> 01:09:52.000]  所以说它才提供了这两个参数
[01:09:52.000 --> 01:09:53.000]  这两个参数就是说
[01:09:53.000 --> 01:09:54.000]  啊
[01:09:54.000 --> 01:09:55.000]  我们这个参数
[01:09:55.000 --> 01:09:57.000]  哪些是需要说
[01:09:57.000 --> 01:09:58.000]  每次我evation之前
[01:09:58.000 --> 01:09:59.000]  给它射成零
[01:09:59.000 --> 01:10:00.000]  或者说
[01:10:00.000 --> 01:10:02.000]  每次我那个evation之后呢
[01:10:02.000 --> 01:10:04.000]  给它恢复成这个我的初始值
[01:10:04.000 --> 01:10:07.000]  那像是如果我们比如说我们
[01:10:07.000 --> 01:10:08.000]  X pointer
[01:10:08.000 --> 01:10:10.000]  如果我们刚才说的那个
[01:10:10.000 --> 01:10:11.000]  这个light add的话
[01:10:11.000 --> 01:10:13.000]  假如说我们变成了
[01:10:13.000 --> 01:10:14.000]  X加Y
[01:10:14.000 --> 01:10:15.000]  X等于X加Y
[01:10:15.000 --> 01:10:18.000]  把这个结果又存回X了
[01:10:18.000 --> 01:10:21.000]  那如果我们设置一个resource value的话
[01:10:21.000 --> 01:10:23.000]  那它我跑完这个
[01:10:23.000 --> 01:10:24.000]  这次config之后呢
[01:10:24.000 --> 01:10:26.000]  它其实X pointer里的值呢
[01:10:26.000 --> 01:10:28.000]  还会恢复成
[01:10:28.000 --> 01:10:30.000]  这个我们一开始那个初始值
[01:10:30.000 --> 01:10:32.000]  ,而不是说我第一次
[01:10:32.000 --> 01:10:34.000]  跑一遍这个函数之后
[01:10:34.000 --> 01:10:36.000]  就修改后的值
[01:10:37.000 --> 01:10:38.000]  那对
[01:10:38.000 --> 01:10:41.000]  所以这俩都是来避免这种
[01:10:41.000 --> 01:10:43.000]  说我这个连续跑config
[01:10:43.000 --> 01:10:44.000]  会造成这个
[01:10:44.000 --> 01:10:47.000]  这个错误的这个问题
[01:10:47.000 --> 01:10:49.000]  所以说它就给了两个
[01:10:49.000 --> 01:10:51.000]  现在说两个参数列表
[01:10:51.000 --> 01:10:53.000]  一个是说哪些我们是
[01:10:53.000 --> 01:10:55.000]  就是跑完
[01:10:55.000 --> 01:10:56.000]  跑前是成0
[01:10:56.000 --> 01:11:00.000]  哪些是跑完我恢复到原始值
